model,model_config_id,fold,asset,regime_dimension,stressed_regime_value,reference_regime_value,stressed_n,reference_n,stressed_status,reference_status,contrast_status,headline_reportable,stressed_mae,reference_mae,stressed_rmse,reference_rmse,stressed_directional_accuracy,reference_directional_accuracy,stressed_mae_skill,reference_mae_skill,mae_skill_degradation,mae_raw_degradation,rmse_raw_degradation,da_degradation,directional_stability_loss,lstm_reportable_seed_count,lstm_seed_mae_skill_degradations,lstm_seed_signs,lstm_seed_sign_disagreement
lightgbm,LGBM_01,D5,AAPL,volatility,high_volatility,low_volatility,93,159,reportable,reportable,reportable,True,0.0097402379866515804,0.010749671866050635,0.013758797519001997,0.014483677320700623,0.59139784946236562,0.54716981132075471,0.012415595689603043,0.00069403034740633807,0.011721565342196705,-0.0010094338793990541,-0.00072487980169862534,0.044228038141610915,-0.044228038141610915,,,,
lightgbm,LGBM_01,D5,AAPL,transition,transition,stable,35,217,reportable,reportable,reportable,True,0.0086921561519688242,0.010648914719547183,0.012504540430214945,0.014478193397945639,0.7142857142857143,0.53917050691244239,0.036474292950969378,0.00045787694334120665,0.036016416007628171,-0.0019567585675783587,-0.0019736529677306935,0.17511520737327191,-0.17511520737327191,,,,
lightgbm,LGBM_01,D5,MSFT,trend,negative_trend,positive_trend,0,252,descriptive_low_n,reportable,descriptive_low_n,False,,0.0095588829030841104,,0.012738797402838262,,0.51190476190476186,,-0.010003096070205997,,,,,,,,,
lightgbm,LGBM_01,D5,MSFT,volatility,high_volatility,low_volatility,93,159,reportable,reportable,reportable,True,0.0096708788369924987,0.0094933758474018432,0.012253094140188063,0.013014488865258944,0.44086021505376344,0.55345911949685533,-0.011301937283007657,-0.0092307769287869323,-0.0020711603542207246,0.00017750298959065547,-0.00076139472507088038,-0.1125989044430919,0.1125989044430919,,,,
lightgbm,LGBM_01,D5,MSFT,transition,transition,stable,35,217,reportable,reportable,reportable,True,0.0090948497866132558,0.0096337269541277946,0.011978342408914613,0.012857239832488638,0.40000000000000002,0.52995391705069128,-0.019298007473222967,-0.0086026264832474997,-0.010695380989975467,-0.0005388771675145388,-0.00087889742357402482,-0.12995391705069126,0.12995391705069126,,,,
lightgbm,LGBM_01,D5,GOOGL,trend,negative_trend,positive_trend,0,252,descriptive_low_n,reportable,descriptive_low_n,False,,0.012451104699920707,,0.017488535630761186,,0.58333333333333337,,0.023846276757777729,,,,,,,,,
lightgbm,LGBM_01,D5,GOOGL,volatility,high_volatility,low_volatility,93,159,reportable,reportable,reportable,True,0.01219586524351313,0.012600395702725134,0.015903392170853368,0.018352343655777512,0.56989247311827962,0.5911949685534591,0.020400020863490798,0.025786568899625162,-0.0053865480361343643,-0.00040453045921200366,-0.0024489514849241438,-0.02130249543517948,0.02130249543517948,,,,
lightgbm,LGBM_01,D5,GOOGL,transition,transition,stable,35,217,reportable,reportable,reportable,True,0.013998025790995183,0.012201601298134501,0.019163265473767555,0.017203156038479113,0.51428571428571423,0.59447004608294929,0.0078861349688392757,0.026743359319129856,-0.01885722435029058,0.0017964244928606824,0.0019601094352884423,-0.080184331797235053,0.080184331797235053,,,,
lightgbm,LGBM_01,D5,NVDA,trend,negative_trend,positive_trend,0,252,descriptive_low_n,reportable,descriptive_low_n,False,,0.024603051559967296,,0.032788735368621626,,0.55555555555555558,,0.0072293754595247339,,,,,,,,,
lightgbm,LGBM_01,D5,NVDA,volatility,high_volatility,low_volatility,93,159,reportable,reportable,reportable,True,0.025270838472249518,0.02421245921504751,0.03364292278435245,0.032278640690699807,0.5268817204301075,0.57232704402515722,0.0047423213094184291,0.008741554376056615,-0.0039992330666381859,0.0010583792572020079,0.0013642820936526426,-0.045445323595049714,0.045445323595049714,,,,
