model,model_config_id,fold,asset,regime_dimension,regime_value,n_seeds,n_per_seed,all_seed_cells_reportable,sample_size_status,mae_mean,mae_std,mae_min,mae_max,rmse_mean,rmse_std,rmse_min,rmse_max,directional_accuracy_mean,directional_accuracy_std,directional_accuracy_min,directional_accuracy_max,actual_positive_direction_balance_mean,actual_positive_direction_balance_std,actual_positive_direction_balance_min,actual_positive_direction_balance_max,matched_baseline_mae_mean,matched_baseline_mae_std,matched_baseline_mae_min,matched_baseline_mae_max,mae_skill_mean,mae_skill_std,mae_skill_min,mae_skill_max,matched_direction_persistence_da_mean,matched_direction_persistence_da_std,matched_direction_persistence_da_min,matched_direction_persistence_da_max,da_difference_mean,da_difference_std,da_difference_min,da_difference_max
lstm_seed_mean,LSTM_63,D1,NVDA,trend,negative_trend,3,64,True,reportable,0.038696955059738171,0.0022372397623472958,0.036188697319140595,0.041621217146696914,0.054149257080603481,0.0035435425349507892,0.049137932385865953,0.056657944067378667,0.58333333333333337,0.051559869461519095,0.546875,0.65625,0.546875,0,0.546875,0.546875,0.041597267237162526,0,0.041597267237162526,0.041597267237162526,0.069723622969954449,0.053783335082852983,-0.00057575680147059494,0.1300222412973796,0.359375,0,0.359375,0.359375,0.22395833333333334,0.051559869461519088,0.1875,0.296875
lstm_seed_mean,LSTM_63,D1,NVDA,trend,positive_trend,3,189,True,reportable,0.02119027997677625,0.00028229111005046857,0.020989522673057554,0.021589497690628817,0.028475022763812669,9.4108743708374901e-05,0.028388821814054287,0.02860593969876124,0.53439153439153442,0.049066764526432306,0.46560846560846558,0.57671957671957674,0.59788359788359791,0,0.59788359788359791,0.59788359788359791,0.020696093398823483,0,0.020696093398823483,0.020696093398823483,-0.02387825414340557,0.013639825865229079,-0.043167774448491958,-0.014178002996969141,0.49206349206349204,0,0.49206349206349204,0.49206349206349204,0.042328042328042347,0.049066764526432313,-0.026455026455026454,0.084656084656084707
lstm_seed_mean,LSTM_63,D1,NVDA,volatility,high_volatility,3,220,True,reportable,0.026950337417767894,0.00086395616375892334,0.025999984638224952,0.028090534540416774,0.038173876958098991,0.0014769621826170789,0.036085141177729985,0.039221859149904573,0.55303030303030309,0.013033826162185813,0.53636363636363638,0.56818181818181823,0.57727272727272727,0,0.57727272727272727,0.57727272727272727,0.027389379590445292,0,0.027389379590445292,0.027389379590445292,0.016029650150621039,0.031543473297960825,-0.025599519246360725,0.050727507267270378,0.43636363636363634,0,0.43636363636363634,0.43636363636363634,0.11666666666666671,0.013033826162185813,0.10000000000000003,0.13181818181818189
lstm_seed_mean,LSTM_63,D1,NVDA,volatility,low_volatility,3,33,True,reportable,0.016742236591667198,0.00047949313594850207,0.016064432343209284,0.017098647334113919,0.025000599408973607,0.00051950561539293569,0.024452434289587724,0.025698315510839127,0.50505050505050508,0.09999489834961281,0.36363636363636365,0.5757575757575758,0.63636363636363635,0,0.63636363636363635,0.63636363636363635,0.016609795322972003,0,0.016609795322972003,0.016609795322972003,-0.0079736845710568494,0.028868094195317613,-0.029431549374110189,0.032833816983190656,0.60606060606060608,0,0.60606060606060608,0.60606060606060608,-0.10101010101010099,0.09999489834961281,-0.24242424242424243,-0.030303030303030276
lstm_seed_mean,LSTM_63,D2,AAPL,transition,stable,3,200,True,reportable,0.012307091160172874,0.00069736134665535814,0.011739958951732202,0.013289399037386185,0.016024172041035106,0.00064626210785563619,0.015473878699336127,0.016931272030284255,0.53333333333333333,0.010274023338281637,0.52000000000000002,0.54500000000000004,0.53500000000000003,0,0.53500000000000003,0.53500000000000003,0.011817369301770464,0,0.011817369301770464,0.011817369301770464,-0.041440852519438486,0.059011555689545865,-0.12456492625606463,0.0065505569015825715,0.51000000000000001,0,0.51000000000000001,0.51000000000000001,0.023333333333333355,0.010274023338281637,0.010000000000000009,0.035000000000000031
lstm_seed_mean,LSTM_63,D2,AAPL,transition,transition,3,52,True,reportable,0.013167736402535074,0.00075537913919726215,0.012618061680557969,0.014235851609499511,0.016947211901529195,0.00081404629162378775,0.016343409921132285,0.018097979444085109,0.55128205128205132,0.055143110686170692,0.48076923076923078,0.61538461538461542,0.51923076923076927,0,0.51923076923076927,0.51923076923076927,0.013516336228123824,1.7347234759768071e-18,0.013516336228123826,0.013516336228123826,0.025790999846793599,0.055886382703733271,-0.053233018861913894,0.066458434623488549,0.46153846153846151,5.5511151231257827e-17,0.46153846153846156,0.46153846153846156,0.089743589743589744,0.055143110686170692,0.019230769230769218,0.15384615384615385
lstm_seed_mean,LSTM_63,D2,AAPL,trend,negative_trend,3,2,False,descriptive_low_n,0.009129921304935,0.00080977750155811982,0.0080556795202233501,0.0100107176896222,0.009361795230098488,0.001069059610017623,0.0080582949898881963,0.010676868813896373,0.5,0,0.5,0.5,0.5,0,0.5,0.5,0.009154200806845,0,0.009154200806845,0.009154200806845,0.0026522798027157624,0.088459661159345962,-0.093565446165081445,0.12000187780458527,0.5,0,0.5,0.5,0,0,0,0
lstm_seed_mean,LSTM_63,D2,AAPL,trend,positive_trend,3,250,True,reportable,0.012511522729426114,0.0007090862489799437,0.011958575276073904,0.013512490623167868,0.016262121884299385,0.00068087906723094283,0.015703232616537801,0.017220629509422967,0.53733333333333333,0.010498677165349092,0.52800000000000002,0.55200000000000005,0.53200000000000003,0,0.53200000000000003,0.53200000000000003,0.012192059770411365,0,0.012192059770411365,0.012192059770411365,-0.026202542066767642,0.058159676242796041,-0.10830252456283285,0.019150537213088348,0.5,0,0.5,0.5,0.037333333333333364,0.010498677165349092,0.028000000000000025,0.052000000000000046
lstm_seed_mean,LSTM_63,D2,AAPL,volatility,high_volatility,3,144,True,reportable,0.012886368673231919,0.00084934149179593155,0.01220610977246948,0.014083823805882903,0.01662768115137064,0.00064242241440428467,0.016066600955976632,0.017527052080996704,0.50694444444444453,0.020443890894277419,0.4861111111111111,0.53472222222222221,0.5,0,0.5,0.5,0.012401370995443715,0,0.012401370995443715,0.012401370995443715,-0.039108391964597554,0.068487709311170625,-0.13566667839042346,0.015745131973390225,0.45833333333333331,0,0.45833333333333331,0.45833333333333331,0.048611111111111126,0.020443890894277419,0.02777777777777779,0.076388888888888895
lstm_seed_mean,LSTM_63,D2,AAPL,volatility,low_volatility,3,108,True,reportable,0.011949105889083355,0.00052135071048439274,0.011556253433549239,0.01268586539929698,0.015657203859820765,0.00073985517196931236,0.015094214903719896,0.016702479124298793,0.5771604938271605,0.0043648566739910534,0.57407407407407407,0.58333333333333337,0.57407407407407407,0,0.57407407407407407,0.57407407407407407,0.011856721489561449,0,0.011856721489561449,0.011856721489561449,-0.0077917322763495873,0.043970899623760641,-0.069930284730521874,0.025341579987076535,0.55555555555555558,0,0.55555555555555558,0.55555555555555558,0.021604938271604923,0.0043648566739910534,0.01851851851851849,0.02777777777777779
