model,source_model,model_config_id,seed,fold,asset,regime_dimension,regime_value,n,mae,rmse,directional_accuracy,actual_positive_direction_balance,sample_size_status
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D4,AAPL,trend,negative_trend,53,0.010492038078540435,0.012948614609168383,0.50943396226415094,0.62264150943396224,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D4,AAPL,trend,positive_trend,197,0.0096562661282152649,0.012823131007583191,0.49746192893401014,0.54314720812182737,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D4,AAPL,volatility,high_volatility,135,0.010520003799676225,0.013576519508270646,0.49629629629629629,0.59259259259259256,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D4,AAPL,volatility,low_volatility,115,0.0090274950649109585,0.011940474286826848,0.5043478260869565,0.52173913043478259,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D4,AAPL,transition,transition,3,0.0060244155246354002,0.0088924624454015649,0.66666666666666663,0.66666666666666663,descriptive_low_n
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D4,AAPL,transition,stable,247,0.009879713355656454,0.012890435664723613,0.49797570850202427,0.5587044534412956,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D4,MSFT,trend,negative_trend,53,0.012183776826479659,0.015398589613884517,0.52830188679245282,0.67924528301886788,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D4,MSFT,trend,positive_trend,197,0.012022311730738418,0.015904743456635957,0.51269035532994922,0.51776649746192893,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D4,MSFT,volatility,high_volatility,135,0.012719398997786154,0.016277541141664742,0.51851851851851849,0.55555555555555558,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D4,MSFT,volatility,low_volatility,115,0.011278406243980521,0.015217578914914365,0.5130434782608696,0.54782608695652169,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D4,MSFT,transition,transition,3,0.0087414079876306002,0.011195917621307189,0.33333333333333331,0,descriptive_low_n
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D4,MSFT,transition,stable,247,0.012096807120631574,0.015846482945208736,0.51821862348178138,0.5587044534412956,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D4,GOOGL,trend,negative_trend,53,0.01376380905651913,0.020296843171503931,0.43396226415094341,0.62264150943396224,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D4,GOOGL,trend,positive_trend,197,0.013940223535464903,0.018895030810546859,0.52284263959390864,0.52284263959390864,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D4,GOOGL,volatility,high_volatility,135,0.015679415496686517,0.021538743066303885,0.52592592592592591,0.57037037037037042,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D4,GOOGL,volatility,low_volatility,115,0.01181725934286452,0.01602674200655332,0.47826086956521741,0.5130434782608696,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D4,GOOGL,transition,transition,3,0.011960618653699502,0.014083616098520787,0.66666666666666663,0.33333333333333331,descriptive_low_n
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D4,GOOGL,transition,stable,247,0.013926413200489884,0.019254559819136891,0.50202429149797567,0.54655870445344135,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D4,NVDA,trend,negative_trend,53,0.020135632268394099,0.02412047469258469,0.60377358490566035,0.69811320754716977,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D4,NVDA,trend,positive_trend,197,0.021432017371430346,0.031159533487275515,0.54314720812182737,0.53299492385786806,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D4,NVDA,volatility,high_volatility,135,0.023867993978080811,0.034448144726776903,0.59259259259259256,0.61481481481481481,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D4,NVDA,volatility,low_volatility,115,0.017974928220484826,0.023201336463505726,0.5130434782608696,0.5130434782608696,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D4,NVDA,transition,transition,3,0.007507525713240734,0.0095974327726050697,1,0.33333333333333331,descriptive_low_n
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D4,NVDA,transition,stable,247,0.021322969049623251,0.029968234232738741,0.55060728744939269,0.57085020242914974,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D5,AAPL,trend,negative_trend,0,,,,,descriptive_low_n
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D5,AAPL,trend,positive_trend,252,0.01042704355729282,0.014245092785302676,0.53174603174603174,0.56349206349206349,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D5,AAPL,volatility,high_volatility,93,0.0098626891475194177,0.013848648106794573,0.4946236559139785,0.59139784946236562,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D5,AAPL,volatility,low_volatility,159,0.010757137646028205,0.014471942577901107,0.55345911949685533,0.54716981132075471,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D5,AAPL,transition,transition,35,0.0090211979694761885,0.012581444172651401,0.5714285714285714,0.7142857142857143,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D5,AAPL,transition,stable,217,0.01065379284565034,0.014495552574096255,0.52534562211981561,0.53917050691244239,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D5,MSFT,trend,negative_trend,0,,,,,descriptive_low_n
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D5,MSFT,trend,positive_trend,252,0.0094642114863573313,0.012625534427869877,0.52777777777777779,0.5357142857142857,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D5,MSFT,volatility,high_volatility,93,0.0095628006636421115,0.012129291363498143,0.55913978494623651,0.5268817204301075,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D5,MSFT,volatility,low_volatility,159,0.0094065461185115166,0.01290694932541203,0.50943396226415094,0.54088050314465408,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D5,MSFT,transition,transition,35,0.0089226602229497427,0.011642770358846699,0.5714285714285714,0.51428571428571423,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D5,MSFT,transition,stable,217,0.0095515584643262944,0.012776967428921813,0.52073732718894006,0.53917050691244239,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D5,GOOGL,trend,negative_trend,0,,,,,descriptive_low_n
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D5,GOOGL,trend,positive_trend,252,0.012755270408194814,0.017635075694171842,0.52380952380952384,0.59126984126984128,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D5,GOOGL,volatility,high_volatility,93,0.012449842285892507,0.015870829573956229,0.56989247311827962,0.56989247311827962,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D5,GOOGL,volatility,low_volatility,159,0.012933917045767863,0.01858954615224305,0.49685534591194969,0.60377358490566035,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D5,GOOGL,transition,transition,35,0.014109293584517667,0.018781196995124764,0.51428571428571423,0.54285714285714282,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D5,GOOGL,transition,stable,217,0.01253687957330403,0.017443166152154497,0.52534562211981561,0.59907834101382484,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D5,NVDA,trend,negative_trend,0,,,,,descriptive_low_n
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D5,NVDA,trend,positive_trend,252,0.024782211471411471,0.032971145117216501,0.49206349206349204,0.55555555555555558,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D5,NVDA,volatility,high_volatility,93,0.025391251947432639,0.033635664105721594,0.44086021505376344,0.5268817204301075,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D5,NVDA,volatility,low_volatility,159,0.024425980249587767,0.032576181706880938,0.5220125786163522,0.57232704402515722,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D5,NVDA,transition,transition,35,0.029594570451899355,0.039696834985215999,0.42857142857142855,0.59999999999999998,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D5,NVDA,transition,stable,217,0.02400602453907472,0.031753220427501484,0.50230414746543783,0.54838709677419351,reportable
