model,aggregation,seed,fold,regime_dimension,regime_value,n_assets_required,n_assets_reportable,n_per_asset_min,n_per_asset_max,macro_status,macro_weighting,mae_skill_aggregation,mae,rmse,directional_accuracy,actual_positive_direction_balance,matched_baseline_mae,mae_skill,matched_direction_persistence_da,da_difference,mae_seed_std,mae_seed_min,mae_seed_max,rmse_seed_std,rmse_seed_min,rmse_seed_max,directional_accuracy_seed_std,directional_accuracy_seed_min,directional_accuracy_seed_max,actual_positive_direction_balance_seed_std,actual_positive_direction_balance_seed_min,actual_positive_direction_balance_seed_max,matched_baseline_mae_seed_std,matched_baseline_mae_seed_min,matched_baseline_mae_seed_max,mae_skill_seed_std,mae_skill_seed_min,mae_skill_seed_max,matched_direction_persistence_da_seed_std,matched_direction_persistence_da_seed_min,matched_direction_persistence_da_seed_max,da_difference_seed_std,da_difference_seed_min,da_difference_seed_max
lightgbm,deterministic,1729,D1,trend,positive_trend,4,4,189,189,reportable,equal_asset_weight,arithmetic_mean_of_asset_level_skills,0.016577625580272405,0.022245705459115722,0.55291005291005291,0.57407407407407407,0.016678421571974873,0.0051762114325192288,0.44841269841269837,0.10449735449735455,,,,,,,,,,,,,,,,,,,,,,,,
lightgbm,deterministic,1729,D1,volatility,high_volatility,4,4,220,220,reportable,equal_asset_weight,arithmetic_mean_of_asset_level_skills,0.021261813130785755,0.030565822163582803,0.54090909090909089,0.55909090909090908,0.021374335710728429,0.0049645470245499035,0.41818181818181815,0.12272727272727271,,,,,,,,,,,,,,,,,,,,,,,,
lightgbm,deterministic,1729,D1,volatility,low_volatility,4,4,33,33,reportable,equal_asset_weight,arithmetic_mean_of_asset_level_skills,0.014142724696765649,0.019853430721682212,0.58333333333333337,0.61363636363636365,0.014375897646059024,0.015742728196833838,0.47727272727272729,0.10606060606060608,,,,,,,,,,,,,,,,,,,,,,,,
lightgbm,deterministic,1729,D1,transition,transition,4,4,91,91,reportable,equal_asset_weight,arithmetic_mean_of_asset_level_skills,0.02832515090590532,0.039577755554050326,0.5357142857142857,0.55769230769230771,0.02859282378052258,0.0093018926245414524,0.36263736263736263,0.17307692307692307,,,,,,,,,,,,,,,,,,,,,,,,
lightgbm,deterministic,1729,D1,transition,stable,4,4,162,162,reportable,equal_asset_weight,arithmetic_mean_of_asset_level_skills,0.015843951057584869,0.021622770607518091,0.55246913580246915,0.57098765432098764,0.01589389823859659,0.0023512977905037202,0.46141975308641975,0.091049382716049371,,,,,,,,,,,,,,,,,,,,,,,,
lightgbm,deterministic,1729,D2,trend,negative_trend,4,0,2,2,unavailable_incomplete_assets,equal_asset_weight,arithmetic_mean_of_asset_level_skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lightgbm,deterministic,1729,D2,trend,positive_trend,4,4,250,250,reportable,equal_asset_weight,arithmetic_mean_of_asset_level_skills,0.013723502262719171,0.01823313016468954,0.52400000000000002,0.53900000000000003,0.013658399305279375,-0.0029683488117082657,0.499,0.024999999999999994,,,,,,,,,,,,,,,,,,,,,,,,
lightgbm,deterministic,1729,D2,volatility,high_volatility,4,4,144,144,reportable,equal_asset_weight,arithmetic_mean_of_asset_level_skills,0.014153420645535195,0.018731226456419281,0.53298611111111105,0.546875,0.014207849961336871,0.0033248478467126918,0.47743055555555552,0.055555555555555552,,,,,,,,,,,,,,,,,,,,,,,,
lightgbm,deterministic,1729,D2,volatility,low_volatility,4,4,108,108,reportable,equal_asset_weight,arithmetic_mean_of_asset_level_skills,0.013155505903069513,0.017491173896638734,0.51620370370370372,0.53472222222222232,0.012960323593227865,-0.010345137480940653,0.52083333333333337,-0.0046296296296296363,,,,,,,,,,,,,,,,,,,,,,,,
lightgbm,deterministic,1729,D2,transition,transition,4,4,52,52,reportable,equal_asset_weight,arithmetic_mean_of_asset_level_skills,0.01509123489367657,0.019775007294202465,0.55769230769230771,0.5625,0.015322605349210282,0.020551845110303335,0.46153846153846156,0.096153846153846173,,,,,,,,,,,,,,,,,,,,,,,,
lightgbm,deterministic,1729,D2,transition,stable,4,4,200,200,reportable,equal_asset_weight,arithmetic_mean_of_asset_level_skills,0.01337071498008697,0.017778835943061112,0.51750000000000007,0.53625,0.013244349321710924,-0.0090151382898615851,0.50499999999999989,0.012500000000000011,,,,,,,,,,,,,,,,,,,,,,,,
lightgbm,deterministic,1729,D3,trend,negative_trend,4,4,196,196,reportable,equal_asset_weight,arithmetic_mean_of_asset_level_skills,0.022502656542450525,0.028286764146423359,0.49234693877551017,0.48979591836734693,0.022308709925902753,-0.011019226269516319,0.52295918367346939,-0.030612244897959204,,,,,,,,,,,,,,,,,,,,,,,,
lightgbm,deterministic,1729,D3,trend,positive_trend,4,4,55,55,reportable,equal_asset_weight,arithmetic_mean_of_asset_level_skills,0.018633985181033732,0.02452416314837215,0.39545454545454545,0.38636363636363641,0.017862710857014463,-0.049340560021304158,0.51818181818181819,-0.1227272727272727,,,,,,,,,,,,,,,,,,,,,,,,
lightgbm,deterministic,1729,D3,volatility,high_volatility,4,4,251,251,reportable,equal_asset_weight,arithmetic_mean_of_asset_level_skills,0.021654939710267565,0.027517721727945053,0.4711155378486056,0.46713147410358569,0.021334487022361494,-0.017863111880391191,0.52191235059760954,-0.050796812749003967,,,,,,,,,,,,,,,,,,,,,,,,
lightgbm,deterministic,1729,D3,volatility,low_volatility,4,0,0,0,unavailable_incomplete_assets,equal_asset_weight,arithmetic_mean_of_asset_level_skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lightgbm,deterministic,1729,D3,transition,transition,4,4,57,57,reportable,equal_asset_weight,arithmetic_mean_of_asset_level_skills,0.022012053027534416,0.027719392390168216,0.5,0.52192982456140358,0.021680895236396814,-0.019553610825003398,0.5,1.3877787807814457e-17,,,,,,,,,,,,,,,,,,,,,,,,
lightgbm,deterministic,1729,D3,transition,stable,4,4,194,194,reportable,equal_asset_weight,arithmetic_mean_of_asset_level_skills,0.021550014663441731,0.027443702598428418,0.46262886597938147,0.45103092783505161,0.021232707289371735,-0.017281864197622177,0.52835051546391754,-0.065721649484536099,,,,,,,,,,,,,,,,,,,,,,,,
lightgbm,deterministic,1729,D4,trend,negative_trend,4,4,53,53,reportable,equal_asset_weight,arithmetic_mean_of_asset_level_skills,0.013741688532554978,0.017951199640763076,0.64150943396226412,0.65566037735849059,0.014143814057483332,0.026230888280448617,0.51886792452830188,0.12264150943396224,,,,,,,,,,,,,,,,,,,,,,,,
lightgbm,deterministic,1729,D4,trend,positive_trend,4,4,197,197,reportable,equal_asset_weight,arithmetic_mean_of_asset_level_skills,0.01423591544198043,0.019604128766224423,0.5266497461928934,0.5291878172588832,0.014262704691462232,0.001781510664064262,0.51903553299492389,0.0076142131979695521,,,,,,,,,,,,,,,,,,,,,,,,
lightgbm,deterministic,1729,D4,volatility,high_volatility,4,4,135,135,reportable,equal_asset_weight,arithmetic_mean_of_asset_level_skills,0.015505385601767006,0.02125508798859977,0.57407407407407407,0.58333333333333337,0.015696703068057427,0.011170897030529925,0.53333333333333333,0.040740740740740758,,,,,,,,,,,,,,,,,,,,,,,,
lightgbm,deterministic,1729,D4,volatility,low_volatility,4,4,115,115,reportable,equal_asset_weight,arithmetic_mean_of_asset_level_skills,0.012517893722234892,0.016597907714608565,0.52391304347826095,0.52391304347826095,0.012524522218060207,0.0005645679386304947,0.50217391304347825,0.021739130434782594,,,,,,,,,,,,,,,,,,,,,,,,
lightgbm,deterministic,1729,D4,transition,transition,4,0,3,3,unavailable_incomplete_assets,equal_asset_weight,arithmetic_mean_of_asset_level_skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lightgbm,deterministic,1729,D4,transition,stable,4,4,247,247,reportable,equal_asset_weight,arithmetic_mean_of_asset_level_skills,0.014190743069933079,0.019361306261270729,0.55364372469635625,0.55870445344129549,0.014306475681600289,0.0074221107756926863,0.51720647773279349,0.036437246963562805,,,,,,,,,,,,,,,,,,,,,,,,
lightgbm,deterministic,1729,D5,trend,negative_trend,4,0,0,0,unavailable_incomplete_assets,equal_asset_weight,arithmetic_mean_of_asset_level_skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lightgbm,deterministic,1729,D5,trend,positive_trend,4,4,252,252,reportable,equal_asset_weight,arithmetic_mean_of_asset_level_skills,0.014247545464811131,0.019309133294295414,0.5535714285714286,0.56150793650793651,0.014357184230814108,0.0064645678410229224,0.51884920634920639,0.034722222222222224,,,,,,,,,,,,,,,,,,,,,,,,
lightgbm,deterministic,1729,D5,volatility,high_volatility,4,4,93,93,reportable,equal_asset_weight,arithmetic_mean_of_asset_level_skills,0.014219455134851681,0.018889551653598971,0.532258064516129,0.55376344086021501,0.014316646011121668,0.0065640001448761531,0.5161290322580645,0.01612903225806453,,,,,,,,,,,,,,,,,,,,,,,,
lightgbm,deterministic,1729,D5,volatility,low_volatility,4,4,159,159,reportable,equal_asset_weight,arithmetic_mean_of_asset_level_skills,0.01426397565780628,0.01953228763310922,0.56603773584905659,0.56603773584905659,0.014380895264973837,0.0064978441735752956,0.52044025157232709,0.04559748427672955,,,,,,,,,,,,,,,,,,,,,,,,
lightgbm,deterministic,1729,D5,transition,transition,4,4,35,35,reportable,equal_asset_weight,arithmetic_mean_of_asset_level_skills,0.01519619647697177,0.02075272131493245,0.55714285714285716,0.59285714285714286,0.015411930557210737,0.01129031289171295,0.52142857142857135,0.03571428571428574,,,,,,,,,,,,,,,,,,,,,,,,
lightgbm,deterministic,1729,D5,transition,stable,4,4,217,217,reportable,equal_asset_weight,arithmetic_mean_of_asset_level_skills,0.014094537237043285,0.019034694458801057,0.55299539170506917,0.55645161290322576,0.014187063855588846,0.0058172610437282057,0.51843317972350234,0.034562211981566837,,,,,,,,,,,,,,,,,,,,,,,,
lstm,per_seed,1729,D1,trend,negative_trend,4,4,64,64,reportable,equal_asset_weight,arithmetic_mean_of_asset_level_skills,0.032431884334964099,0.045237401015461969,0.5625,0.54296875,0.031633387524639858,-0.02668480400872103,0.359375,0.203125,,,,,,,,,,,,,,,,,,,,,,,,
lstm,per_seed,1729,D1,trend,positive_trend,4,4,189,189,reportable,equal_asset_weight,arithmetic_mean_of_asset_level_skills,0.017205446626904739,0.022883702559906821,0.5357142857142857,0.57407407407407407,0.016678421571974873,-0.032277312033723388,0.44841269841269837,0.087301587301587311,,,,,,,,,,,,,,,,,,,,,,,,
lstm,per_seed,1729,D1,volatility,high_volatility,4,4,220,220,reportable,equal_asset_weight,arithmetic_mean_of_asset_level_skills,0.022060680915791928,0.031373842550532313,0.53977272727272729,0.55909090909090908,0.021374335710728429,-0.032278241724594869,0.41818181818181815,0.12159090909090911,,,,,,,,,,,,,,,,,,,,,,,,
lstm,per_seed,1729,D1,volatility,low_volatility,4,4,33,33,reportable,equal_asset_weight,arithmetic_mean_of_asset_level_skills,0.014367279043893176,0.020135486596031239,0.56060606060606055,0.61363636363636365,0.014375897646059024,0.004812866084971279,0.47727272727272729,0.083333333333333343,,,,,,,,,,,,,,,,,,,,,,,,
lstm,per_seed,1729,D1,transition,transition,4,4,91,91,reportable,equal_asset_weight,arithmetic_mean_of_asset_level_skills,0.029040029525766443,0.040118740798188883,0.51923076923076916,0.55769230769230771,0.02859282378052258,-0.020096018305921642,0.36263736263736263,0.15659340659340659,,,,,,,,,,,,,,,,,,,,,,,,
lstm,per_seed,1729,D1,transition,stable,4,4,162,162,reportable,equal_asset_weight,arithmetic_mean_of_asset_level_skills,0.016573008167147851,0.022698066621355359,0.55555555555555547,0.57098765432098764,0.01589389823859659,-0.040148195495407185,0.46141975308641975,0.094135802469135804,,,,,,,,,,,,,,,,,,,,,,,,
lstm,per_seed,1729,D2,trend,negative_trend,4,0,2,2,unavailable_incomplete_assets,equal_asset_weight,arithmetic_mean_of_asset_level_skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lstm,per_seed,1729,D2,trend,positive_trend,4,4,250,250,reportable,equal_asset_weight,arithmetic_mean_of_asset_level_skills,0.014387449747415744,0.018802245438082194,0.51100000000000001,0.53900000000000003,0.013658399305279375,-0.053388726328697095,0.499,0.012000000000000025,,,,,,,,,,,,,,,,,,,,,,,,
lstm,per_seed,1729,D2,volatility,high_volatility,4,4,144,144,reportable,equal_asset_weight,arithmetic_mean_of_asset_level_skills,0.014880672459070177,0.019278678503402855,0.51041666666666663,0.546875,0.014207849961336871,-0.0460945450435927,0.47743055555555552,0.032986111111111133,,,,,,,,,,,,,,,,,,,,,,,,
lstm,per_seed,1729,D2,volatility,low_volatility,4,4,108,108,reportable,equal_asset_weight,arithmetic_mean_of_asset_level_skills,0.013684305305016155,0.018048773192942378,0.51851851851851849,0.53472222222222232,0.012960323593227865,-0.058602347313628678,0.52083333333333337,-0.0023148148148148112,,,,,,,,,,,,,,,,,,,,,,,,
lstm,per_seed,1729,D2,transition,transition,4,4,52,52,reportable,equal_asset_weight,arithmetic_mean_of_asset_level_skills,0.015098441807241672,0.019943285367179393,0.55288461538461542,0.5625,0.015322605349210282,0.019350751715376452,0.46153846153846156,0.091346153846153827,,,,,,,,,,,,,,,,,,,,,,,,
lstm,per_seed,1729,D2,transition,stable,4,4,200,200,reportable,equal_asset_weight,arithmetic_mean_of_asset_level_skills,0.014178014165356419,0.018443442882797943,0.50375000000000003,0.53625,0.013244349321710924,-0.072774198542587987,0.50499999999999989,-0.0012499999999999872,,,,,,,,,,,,,,,,,,,,,,,,
lstm,per_seed,1729,D3,trend,negative_trend,4,4,196,196,reportable,equal_asset_weight,arithmetic_mean_of_asset_level_skills,0.022939843828065819,0.029015031984893552,0.49617346938775508,0.48979591836734693,0.022308709925902753,-0.03046510217093662,0.52295918367346939,-0.026785714285714302,,,,,,,,,,,,,,,,,,,,,,,,
lstm,per_seed,1729,D3,trend,positive_trend,4,4,55,55,reportable,equal_asset_weight,arithmetic_mean_of_asset_level_skills,0.019599671157176819,0.025448297221083702,0.45454545454545453,0.38636363636363641,0.017862710857014463,-0.1178805485587634,0.51818181818181819,-0.063636363636363616,,,,,,,,,,,,,,,,,,,,,,,,
lstm,per_seed,1729,D3,volatility,high_volatility,4,4,251,251,reportable,equal_asset_weight,arithmetic_mean_of_asset_level_skills,0.022207933481855086,0.028279272198231276,0.48705179282868527,0.46713147410358569,0.021334487022361494,-0.045319001930412828,0.52191235059760954,-0.034860557768924272,,,,,,,,,,,,,,,,,,,,,,,,
lstm,per_seed,1729,D3,volatility,low_volatility,4,0,0,0,unavailable_incomplete_assets,equal_asset_weight,arithmetic_mean_of_asset_level_skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lstm,per_seed,1729,D3,transition,transition,4,4,57,57,reportable,equal_asset_weight,arithmetic_mean_of_asset_level_skills,0.023247881119400592,0.029232101049865202,0.48245614035087714,0.52192982456140358,0.021680895236396814,-0.073707121957936439,0.5,-0.01754385964912282,,,,,,,,,,,,,,,,,,,,,,,,
lstm,per_seed,1729,D3,transition,stable,4,4,194,194,reportable,equal_asset_weight,arithmetic_mean_of_asset_level_skills,0.021902381856390683,0.027987379791672193,0.48840206185567014,0.45103092783505161,0.021232707289371735,-0.037104431309462282,0.52835051546391754,-0.039948453608247433,,,,,,,,,,,,,,,,,,,,,,,,
lstm,per_seed,1729,D4,trend,negative_trend,4,4,53,53,reportable,equal_asset_weight,arithmetic_mean_of_asset_level_skills,0.013299875543578765,0.017682994277204073,0.6132075471698113,0.65566037735849059,0.014143814057483332,0.060760093348115884,0.51886792452830188,0.094339622641509413,,,,,,,,,,,,,,,,,,,,,,,,
lstm,per_seed,1729,D4,trend,positive_trend,4,4,197,197,reportable,equal_asset_weight,arithmetic_mean_of_asset_level_skills,0.014648612638699366,0.020090559232179284,0.5025380710659898,0.5291878172588832,0.014262704691462232,-0.026955518915180998,0.51903553299492389,-0.01649746192893399,,,,,,,,,,,,,,,,,,,,,,,,
lstm,per_seed,1729,D4,volatility,high_volatility,4,4,135,135,reportable,equal_asset_weight,arithmetic_mean_of_asset_level_skills,0.015985035606971447,0.021844363022383941,0.50370370370370376,0.58333333333333337,0.015696703068057427,-0.016457704630318204,0.53333333333333333,-0.029629629629629617,,,,,,,,,,,,,,,,,,,,,,,,
lstm,per_seed,1729,D4,volatility,low_volatility,4,4,115,115,reportable,equal_asset_weight,arithmetic_mean_of_asset_level_skills,0.012458176406020035,0.016565308452328183,0.55217391304347829,0.52391304347826095,0.012524522218060207,0.0043936312207339956,0.50217391304347825,0.049999999999999989,,,,,,,,,,,,,,,,,,,,,,,,
lstm,per_seed,1729,D4,transition,transition,4,0,3,3,unavailable_incomplete_assets,equal_asset_weight,arithmetic_mean_of_asset_level_skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lstm,per_seed,1729,D4,transition,stable,4,4,247,247,reportable,equal_asset_weight,arithmetic_mean_of_asset_level_skills,0.014448860339368427,0.019715594879796842,0.52125506072874495,0.55870445344129549,0.014306475681600289,-0.009058626136198622,0.51720647773279349,0.0040485829959514552,,,,,,,,,,,,,,,,,,,,,,,,
lstm,per_seed,1729,D5,trend,negative_trend,4,0,0,0,unavailable_incomplete_assets,equal_asset_weight,arithmetic_mean_of_asset_level_skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lstm,per_seed,1729,D5,trend,positive_trend,4,4,252,252,reportable,equal_asset_weight,arithmetic_mean_of_asset_level_skills,0.014641710667024771,0.019696578237631678,0.50992063492063489,0.56150793650793651,0.014357184230814108,-0.028369781804407246,0.51884920634920639,-0.0089285714285714385,,,,,,,,,,,,,,,,,,,,,,,,
lstm,per_seed,1729,D5,volatility,high_volatility,4,4,93,93,reportable,equal_asset_weight,arithmetic_mean_of_asset_level_skills,0.014548201962200765,0.019176524523580069,0.50806451612903225,0.55376344086021501,0.014316646011121668,-0.02621713299509057,0.5161290322580645,-0.0080645161290322509,,,,,,,,,,,,,,,,,,,,,,,,
