model,model_config_id,seed,fold,asset,regime_dimension,regime_value,n,mae,rmse,directional_accuracy,actual_positive_direction_balance,sample_size_status,matched_baseline_mae,mae_skill,matched_direction_persistence_da,da_difference
lstm,LSTM_63,1729,D1,GOOGL,transition,transition,91,0.022745684982579919,0.032461497815577132,0.49450549450549453,0.56043956043956045,reportable,0.022571858564219522,-0.0077010237267720605,0.36263736263736263,0.1318681318681319
lstm,LSTM_63,1729,D1,GOOGL,transition,stable,162,0.013381064433306783,0.018738479245624655,0.58024691358024694,0.58024691358024694,reportable,0.013522833174096865,0.01048365671342022,0.47530864197530864,0.10493827160493829
lstm,LSTM_63,2718,D1,GOOGL,trend,negative_trend,64,0.025745712475523722,0.035044207337706218,0.53125,0.5625,reportable,0.026230955280477447,0.018498861355418117,0.359375,0.171875
lstm,LSTM_63,2718,D1,GOOGL,trend,positive_trend,189,0.014317822458855548,0.018791505089948295,0.48148148148148145,0.57671957671957674,reportable,0.0135764918814662,-0.054603986350948874,0.46031746031746029,0.021164021164021163
lstm,LSTM_63,2718,D1,GOOGL,volatility,high_volatility,220,0.017933273854617581,0.024897681143278519,0.48181818181818181,0.55454545454545456,reportable,0.017424254098311165,-0.029213288180625963,0.43181818181818182,0.049999999999999989
lstm,LSTM_63,2718,D1,GOOGL,volatility,low_volatility,33,0.012377993792162111,0.016478805091269737,0.5757575757575758,0.69696969696969702,reportable,0.012466733391491279,0.007118111580835973,0.45454545454545453,0.12121212121212127
lstm,LSTM_63,2718,D1,GOOGL,transition,transition,91,0.022506032089227697,0.030441045687186693,0.51648351648351654,0.56043956043956045,reportable,0.022571858564219522,0.0029163072595258521,0.36263736263736263,0.15384615384615391
lstm,LSTM_63,2718,D1,GOOGL,transition,stable,162,0.014232994586651207,0.019406656689714644,0.48148148148148145,0.58024691358024694,reportable,0.013522833174096865,-0.052515726801589446,0.47530864197530864,0.0061728395061728114
lstm,LSTM_63,31415,D1,GOOGL,trend,negative_trend,64,0.032054959879404141,0.046338124890202663,0.546875,0.5625,reportable,0.026230955280477447,-0.22202792603825783,0.359375,0.1875
lstm,LSTM_63,31415,D1,GOOGL,trend,positive_trend,189,0.016490889885106205,0.021265402128502392,0.47089947089947087,0.57671957671957674,reportable,0.0135764918814662,-0.21466502754062433,0.46031746031746029,0.010582010582010581
lstm,LSTM_63,31415,D1,GOOGL,volatility,high_volatility,220,0.02152410093872149,0.03113079343777236,0.48636363636363639,0.55454545454545456,reportable,0.017424254098311165,-0.23529540015188943,0.43181818181818182,0.054545454545454564
lstm,LSTM_63,31415,D1,GOOGL,volatility,low_volatility,33,0.013121012546915426,0.01713005978534464,0.51515151515151514,0.69696969696969702,reportable,0.012466733391491279,-0.052482004297188301,0.45454545454545453,0.060606060606060608
lstm,LSTM_63,31415,D1,GOOGL,transition,transition,91,0.028509613932839652,0.040434731417722233,0.48351648351648352,0.56043956043956045,reportable,0.022571858564219522,-0.26306009989060208,0.36263736263736263,0.12087912087912089
lstm,LSTM_63,31415,D1,GOOGL,transition,stable,162,0.015888399707892145,0.021388416786660612,0.49382716049382713,0.58024691358024694,reportable,0.013522833174096865,-0.17493128128849134,0.47530864197530864,0.01851851851851849
lstm,LSTM_63,1729,D1,NVDA,trend,negative_trend,64,0.041621217146696914,0.056657944067378667,0.546875,0.546875,reportable,0.041597267237162526,-0.00057575680147059494,0.359375,0.1875
lstm,LSTM_63,1729,D1,NVDA,trend,positive_trend,189,0.021589497690628817,0.02860593969876124,0.57671957671957674,0.59788359788359791,reportable,0.020696093398823483,-0.043167774448491958,0.49206349206349204,0.084656084656084707
lstm,LSTM_63,1729,D1,NVDA,volatility,high_volatility,220,0.028090534540416774,0.039214630546662424,0.56818181818181823,0.57727272727272727,reportable,0.027389379590445292,-0.025599519246360725,0.43636363636363634,0.13181818181818189
lstm,LSTM_63,1729,D1,NVDA,volatility,low_volatility,33,0.017098647334113919,0.025698315510839127,0.5757575757575758,0.63636363636363635,reportable,0.016609795322972003,-0.029431549374110189,0.60606060606060608,-0.030303030303030276
lstm,LSTM_63,1729,D1,NVDA,transition,transition,91,0.036730942712923167,0.050030568368275519,0.5714285714285714,0.59340659340659341,reportable,0.037904924887173876,0.030971758359768065,0.38461538461538464,0.18681318681318676
lstm,LSTM_63,1729,D1,NVDA,transition,stable,162,0.020997883790379267,0.028580431279046286,0.5679012345679012,0.58024691358024694,reportable,0.019286657968044553,-0.088725886318406832,0.5,0.067901234567901203
lstm,LSTM_63,2718,D1,NVDA,trend,negative_trend,64,0.036188697319140595,0.049137932385865953,0.65625,0.546875,reportable,0.041597267237162526,0.1300222412973796,0.359375,0.296875
lstm,LSTM_63,2718,D1,NVDA,trend,positive_trend,189,0.020989522673057554,0.028388821814054287,0.46560846560846558,0.59788359788359791,reportable,0.020696093398823483,-0.014178002996969141,0.49206349206349204,-0.026455026455026454
lstm,LSTM_63,2718,D1,NVDA,volatility,high_volatility,220,0.025999984638224952,0.036085141177729985,0.53636363636363638,0.57727272727272727,reportable,0.027389379590445292,0.050727507267270378,0.43636363636363634,0.10000000000000003
lstm,LSTM_63,2718,D1,NVDA,volatility,low_volatility,33,0.017063630097678389,0.02485104842649398,0.36363636363636365,0.63636363636363635,reportable,0.016609795322972003,-0.027323321322251015,0.60606060606060608,-0.24242424242424243
lstm,LSTM_63,2718,D1,NVDA,transition,transition,91,0.033758658223493998,0.045719911702973313,0.62637362637362637,0.59340659340659341,reportable,0.037904924887173876,0.10938596174564308,0.38461538461538464,0.24175824175824173
lstm,LSTM_63,2718,D1,NVDA,transition,stable,162,0.019821348859845198,0.026831890163931352,0.45061728395061729,0.58024691358024694,reportable,0.019286657968044553,-0.027723356357880036,0.5,-0.049382716049382713
lstm,LSTM_63,31415,D1,NVDA,trend,negative_trend,64,0.038280950713376991,0.056651894788565832,0.546875,0.546875,reportable,0.041597267237162526,0.079724384413954352,0.359375,0.1875
lstm,LSTM_63,31415,D1,NVDA,trend,positive_trend,189,0.020991819566642374,0.028430306778622468,0.56084656084656082,0.59788359788359791,reportable,0.020696093398823483,-0.014288984984755615,0.49206349206349204,0.068783068783068779
lstm,LSTM_63,31415,D1,NVDA,volatility,high_volatility,220,0.026760493074661953,0.039221859149904573,0.55454545454545456,0.57727272727272727,reportable,0.027389379590445292,0.022960962430953469,0.43636363636363634,0.11818181818181822
lstm,LSTM_63,31415,D1,NVDA,volatility,low_volatility,33,0.016064432343209284,0.024452434289587724,0.5757575757575758,0.63636363636363635,reportable,0.016609795322972003,0.032833816983190656,0.60606060606060608,-0.030303030303030276
lstm,LSTM_63,31415,D1,NVDA,transition,transition,91,0.035807475443649352,0.051304237998895878,0.58241758241758246,0.59340659340659341,reportable,0.037904924887173876,0.055334483573511895,0.38461538461538464,0.19780219780219782
lstm,LSTM_63,31415,D1,NVDA,transition,stable,162,0.019499719002342254,0.027062568394375264,0.54320987654320985,0.58024691358024694,reportable,0.019286657968044553,-0.011047068634219226,0.5,0.043209876543209846
lstm,LSTM_63,1729,D2,AAPL,trend,negative_trend,2,0.0100107176896222,0.010676868813896373,0.5,0.5,descriptive_low_n,0.009154200806845,-0.093565446165081445,0.5,0
lstm,LSTM_63,1729,D2,AAPL,trend,positive_trend,250,0.013512490623167868,0.017220629509422967,0.53200000000000003,0.53200000000000003,reportable,0.012192059770411365,-0.10830252456283285,0.5,0.032000000000000028
lstm,LSTM_63,1729,D2,AAPL,volatility,high_volatility,144,0.014083823805882903,0.017527052080996704,0.5,0.5,reportable,0.012401370995443715,-0.13566667839042346,0.45833333333333331,0.041666666666666685
lstm,LSTM_63,1729,D2,AAPL,volatility,low_volatility,108,0.01268586539929698,0.016702479124298793,0.57407407407407407,0.57407407407407407,reportable,0.011856721489561449,-0.069930284730521874,0.55555555555555558,0.01851851851851849
lstm,LSTM_63,1729,D2,AAPL,transition,transition,52,0.014235851609499511,0.018097979444085109,0.48076923076923078,0.51923076923076927,reportable,0.013516336228123826,-0.053233018861913894,0.46153846153846156,0.019230769230769218
lstm,LSTM_63,1729,D2,AAPL,transition,stable,200,0.013289399037386185,0.016931272030284255,0.54500000000000004,0.53500000000000003,reportable,0.011817369301770464,-0.12456492625606463,0.51000000000000001,0.035000000000000031
lstm,LSTM_63,2718,D2,AAPL,trend,negative_trend,2,0.0080556795202233501,0.0080582949898881963,0.5,0.5,descriptive_low_n,0.009154200806845,0.12000187780458527,0.5,0
lstm,LSTM_63,2718,D2,AAPL,trend,positive_trend,250,0.011958575276073904,0.015703232616537801,0.55200000000000005,0.53200000000000003,reportable,0.012192059770411365,0.019150537213088348,0.5,0.052000000000000046
lstm,LSTM_63,2718,D2,AAPL,volatility,high_volatility,144,0.01220610977246948,0.016066600955976632,0.53472222222222221,0.5,reportable,0.012401370995443715,0.015745131973390225,0.45833333333333331,0.076388888888888895
lstm,LSTM_63,2718,D2,AAPL,volatility,low_volatility,108,0.011556253433549239,0.015094214903719896,0.57407407407407407,0.57407407407407407,reportable,0.011856721489561449,0.025341579987076535,0.55555555555555558,0.01851851851851849
lstm,LSTM_63,2718,D2,AAPL,transition,transition,52,0.012649295917547741,0.016343409921132285,0.61538461538461542,0.51923076923076927,reportable,0.013516336228123826,0.064147583778806139,0.46153846153846156,0.15384615384615385
lstm,LSTM_63,2718,D2,AAPL,transition,stable,200,0.011739958951732202,0.015473878699336127,0.53500000000000003,0.53500000000000003,reportable,0.011817369301770464,0.0065505569015825715,0.51000000000000001,0.025000000000000022
lstm,LSTM_63,31415,D2,AAPL,trend,negative_trend,2,0.0093233667049594498,0.0093502218865108965,0.5,0.5,descriptive_low_n,0.009154200806845,-0.018479592231356534,0.5,0
lstm,LSTM_63,31415,D2,AAPL,trend,positive_trend,250,0.012063502289036569,0.015862503526937379,0.52800000000000002,0.53200000000000003,reportable,0.012192059770411365,0.010544361149441572,0.5,0.028000000000000025
