model,model_config_id,seed,fold,asset,regime_dimension,regime_value,n,mae,rmse,directional_accuracy,actual_positive_direction_balance,sample_size_status,matched_baseline_mae,mae_skill,matched_direction_persistence_da,da_difference
lightgbm,LGBM_01,1729,D3,NVDA,trend,positive_trend,55,0.029801011106664336,0.038205407142820752,0.41818181818181815,0.41818181818181815,reportable,0.029304358621432804,-0.016948075596791456,0.50909090909090904,-0.090909090909090884
lightgbm,LGBM_01,1729,D3,NVDA,volatility,high_volatility,251,0.032089297025757954,0.039992930399579969,0.48605577689243029,0.48605577689243029,reportable,0.032033942243577009,-0.0017280040576974631,0.55776892430278879,-0.071713147410358502
lightgbm,LGBM_01,1729,D3,NVDA,volatility,low_volatility,0,,,,,descriptive_low_n,,,,
lightgbm,LGBM_01,1729,D3,NVDA,transition,transition,57,0.032106813208141009,0.039831030557928762,0.54385964912280704,0.54385964912280704,reportable,0.032329553570205782,0.006889682580400569,0.47368421052631576,0.07017543859649128
lightgbm,LGBM_01,1729,D3,NVDA,transition,stable,194,0.032084150518562934,0.040040374484321857,0.46907216494845361,0.46907216494845361,reportable,0.031947087369258241,-0.0042903175403898874,0.58247422680412375,-0.11340206185567014
lightgbm,LGBM_03,1729,D4,AAPL,trend,negative_trend,53,0.010325810217534214,0.012796301693685992,0.62264150943396224,0.62264150943396224,reportable,0.010492038078540435,0.015843238440604757,0.50943396226415094,0.1132075471698113
lightgbm,LGBM_03,1729,D4,AAPL,trend,positive_trend,197,0.0096156360878341274,0.012790998271184739,0.54314720812182737,0.54314720812182737,reportable,0.0096562661282152649,0.0042076346945759679,0.49746192893401014,0.045685279187817229
lightgbm,LGBM_03,1729,D4,AAPL,volatility,high_volatility,135,0.010403595254963333,0.013446743542504927,0.59259259259259256,0.59259259259259256,reportable,0.010520003799676225,0.011065447021651686,0.49629629629629629,0.096296296296296269
lightgbm,LGBM_03,1729,D4,AAPL,volatility,low_volatility,115,0.0090179381861964069,0.011978091668089434,0.52173913043478259,0.52173913043478259,reportable,0.0090274950649109585,0.0010586412560554814,0.5043478260869565,0.017391304347826098
lightgbm,LGBM_03,1729,D4,AAPL,transition,transition,3,0.0057322171085530671,0.0092490376814780839,0.66666666666666663,0.66666666666666663,descriptive_low_n,0.0060244155246354002,0.048502367555401493,0.66666666666666663,0
lightgbm,LGBM_03,1729,D4,AAPL,transition,stable,247,0.0098151886619715703,0.012829143065466423,0.5587044534412956,0.5587044534412956,reportable,0.009879713355656454,0.0065310289238240671,0.49797570850202427,0.060728744939271329
lightgbm,LGBM_03,1729,D4,MSFT,trend,negative_trend,53,0.011844883296873202,0.015125736425595922,0.67924528301886788,0.67924528301886788,reportable,0.012183776826479659,0.02781514586428746,0.52830188679245282,0.15094339622641506
lightgbm,LGBM_03,1729,D4,MSFT,trend,positive_trend,197,0.012026720866594762,0.015873887073087147,0.51776649746192893,0.51776649746192893,reportable,0.012022311730738418,-0.00036674609302234096,0.51269035532994922,0.0050761421319797106
lightgbm,LGBM_03,1729,D4,MSFT,volatility,high_volatility,135,0.012629872469313741,0.016125537024539262,0.55555555555555558,0.55555555555555558,reportable,0.012719398997786154,0.007038581656884535,0.51851851851851849,0.03703703703703709
lightgbm,LGBM_03,1729,D4,MSFT,volatility,low_volatility,115,0.011234869931270368,0.015226244115072833,0.54782608695652169,0.54782608695652169,reportable,0.011278406243980521,0.0038601475925190698,0.5130434782608696,0.034782608695652084
lightgbm,LGBM_03,1729,D4,MSFT,transition,transition,3,0.0096656592592751656,0.01186463458595175,0,0,descriptive_low_n,0.0087414079876306002,-0.10573254022148526,0.33333333333333331,-0.33333333333333331
lightgbm,LGBM_03,1729,D4,MSFT,transition,stable,247,0.012016379950103734,0.015759267879979891,0.5587044534412956,0.5587044534412956,reportable,0.012096807120631574,0.0066486279995874309,0.51821862348178138,0.040485829959514219
lightgbm,LGBM_03,1729,D4,GOOGL,trend,negative_trend,53,0.013482493789481433,0.020113724249812257,0.62264150943396224,0.62264150943396224,reportable,0.01376380905651913,0.020438765597700081,0.43396226415094341,0.18867924528301883
lightgbm,LGBM_03,1729,D4,GOOGL,trend,positive_trend,197,0.013941207145842615,0.018851275706715246,0.52284263959390864,0.52284263959390864,reportable,0.013940223535464903,-7.0559153890759063e-05,0.52284263959390864,0
lightgbm,LGBM_03,1729,D4,GOOGL,volatility,high_volatility,135,0.015535679855721463,0.021422150030232338,0.57037037037037042,0.57037037037037042,reportable,0.015679415496686517,0.0091671555610877142,0.52592592592592591,0.044444444444444509
lightgbm,LGBM_03,1729,D4,GOOGL,volatility,low_volatility,115,0.011858027809140114,0.016015519410158191,0.5130434782608696,0.5130434782608696,reportable,0.01181725934286452,-0.0034499087387982463,0.47826086956521741,0.034782608695652195
lightgbm,LGBM_03,1729,D4,GOOGL,transition,transition,3,0.0123318107661093,0.014873123469559085,0.33333333333333331,0.33333333333333331,descriptive_low_n,0.011960618653699502,-0.031034524480469505,0.66666666666666663,-0.33333333333333331
lightgbm,LGBM_03,1729,D4,GOOGL,transition,stable,247,0.013862326098280092,0.019171731766096104,0.54655870445344135,0.54655870445344135,reportable,0.013926413200489884,0.0046018383403658714,0.50202429149797567,0.044534412955465674
lightgbm,LGBM_03,1729,D4,NVDA,trend,negative_trend,53,0.019313566826331063,0.023769036193958138,0.64150943396226412,0.69811320754716977,reportable,0.020135632268394099,0.040826403219202168,0.60377358490566035,0.037735849056603765
